Author,Char_1,Freq_1,Char_2,Freq_2,Char_3,Freq_3,Char_4,Freq_4,Char_5,Freq_5,Char_6,Freq_6,Char_7,Freq_7,Char_8,Freq_8,Char_9,Freq_9,Char_10,Freq_10,char_e,char_t,char_o,char_a,char_n,char_i,char_r,char_s,char_h,char_l,char_d,char_c,char_u,char_f,char_m,char_p,char_g,char_y,char_b,char_w,char_ſ,char_v,char_ī,char_k,char_é,Language
David Potter,e,12.51,t,9.11,o,7.91,a,7.84,n,6.74,i,6.51,h,6.09,s,5.87,r,5.82,d,4.58,12.51,9.11,7.91,7.84,6.74,6.51,5.82,5.87,6.09,4.23,4.58,2.36,3.06,2.16,2.47,1.7,2.13,2.64,1.71,2.35,,,,,,English
David Slowinski,e,11.95,t,9.85,o,8.71,r,7.63,i,7.35,n,6.82,a,6.52,s,5.09,c,3.84,d,3.48,11.95,9.85,8.71,6.52,6.82,7.35,7.63,5.09,3.41,3.17,3.48,3.84,3.32,2.51,2.44,2.92,2.68,2.11,1.78,1.81,,,,,,English
Dawson Turner,e,12.74,t,9.56,a,7.61,i,7.45,o,7.42,n,6.91,r,6.54,s,6.31,h,5.48,l,3.87,12.74,9.56,7.42,7.61,6.91,7.45,6.54,6.31,5.48,3.87,3.81,3.33,3.17,2.62,2.31,2.09,1.6,1.62,1.63,1.62,,,,,,English
Dean S. Fansler,e,12.62,t,9.11,a,8.28,o,7.86,h,6.94,n,6.9,i,6.56,s,6.16,r,5.81,d,4.27,12.62,9.11,7.86,8.28,6.9,6.56,5.81,6.16,6.94,3.73,4.27,2.47,2.65,2.26,2.45,1.58,2.07,1.87,1.58,2.2,,,,,,English
Democritus Junior,e,11.69,t,8.46,a,8.42,i,8.09,s,7.77,o,7.12,n,6.65,r,6.01,h,4.66,l,4.18,11.69,8.46,7.12,8.42,6.65,8.09,6.01,7.77,4.66,4.18,3.69,3.33,4.07,1.94,3.42,2.09,1.45,1.44,1.64,1.34,,,,,,English
Desiderius Erasmus,e,12.42,t,9.49,a,7.81,o,7.73,i,6.91,s,6.87,n,6.81,r,6.14,h,6.03,l,4.03,12.42,9.49,7.73,7.81,6.81,6.91,6.14,6.87,6.03,4.03,3.63,2.64,2.85,2.56,2.53,2.01,1.89,2.08,1.56,1.88,,,,,,English
Diego Collado,e,12.04,t,9.07,a,8.73,i,8.48,o,8.12,n,6.88,r,6.46,s,5.51,h,4.39,u,3.52,12.04,9.07,8.12,8.73,6.88,8.48,6.46,5.51,4.39,2.61,3.26,3.38,3.52,2.32,2.68,1.85,2.33,,1.56,1.24,,1.56,,,,English
Dinabandhu Mitra,e,12.0,t,9.12,o,8.37,a,8.06,i,7.21,n,6.68,h,6.46,r,6.17,s,6.15,d,3.84,12.0,9.12,8.37,8.06,6.68,7.21,6.17,6.15,6.46,3.42,3.84,2.3,2.81,2.39,2.61,1.66,2.21,2.26,1.9,2.08,,,,,,English
Diogenes La__rtius,e,12.12,t,9.13,a,8.29,o,8.05,i,7.44,s,7.37,n,7.17,h,6.6,r,5.23,d,3.94,12.12,9.13,8.05,8.29,7.17,7.44,5.23,7.37,6.6,3.29,3.94,2.86,2.63,2.3,2.36,2.06,1.68,1.73,1.33,1.94,,,,,,English
Don H. Berkebile,e,12.86,t,9.68,o,7.48,a,7.44,n,7.23,i,7.11,r,6.9,s,5.63,h,5.34,d,3.73,12.86,9.68,7.48,7.44,7.23,7.11,6.9,5.63,5.34,3.69,3.73,3.28,2.76,2.6,2.24,2.18,2.27,1.59,1.64,1.87,,,,,,English
Donald A. Mackenzie,e,12.66,a,8.85,t,8.66,i,7.31,o,6.9,s,6.77,n,6.76,r,6.38,h,6.17,d,4.53,12.66,8.66,6.9,8.85,6.76,7.31,6.38,6.77,6.17,3.62,4.53,2.61,2.4,2.38,2.41,1.94,2.05,1.7,1.71,1.98,,,,,,English
Donald F. Daley,e,12.71,t,10.05,o,8.43,a,7.0,r,6.74,i,6.73,n,6.49,h,5.23,s,5.19,d,4.16,12.71,10.05,8.43,7.0,6.49,6.73,6.74,5.19,5.23,3.35,4.16,3.4,3.08,2.27,2.33,2.31,2.25,2.17,1.64,2.02,,,,,,English
Donald McGibeny,e,12.45,t,9.37,o,7.81,a,7.55,i,6.97,n,6.63,h,6.36,s,5.74,r,5.65,d,4.67,12.45,9.37,7.81,7.55,6.63,6.97,5.65,5.74,6.36,3.84,4.67,2.41,3.06,2.09,2.81,1.71,2.05,2.19,1.49,2.49,,,,,,English
