Author,Char_1,Freq_1,Char_2,Freq_2,Char_3,Freq_3,Char_4,Freq_4,Char_5,Freq_5,Char_6,Freq_6,Char_7,Freq_7,Char_8,Freq_8,Char_9,Freq_9,Char_10,Freq_10,char_e,char_a,char_s,char_n,char_i,char_r,char_l,char_t,char_o,char_u,char_d,char_c,char_m,char_p,char_v,char_g,char_b,char_f,char_h,char_q,Language,char_k,char_y,char_j,char_w,char_z,char_ſ,char_ī,char_é,char_þ,char_ä,char_ö,char_á,char_æ,char_о,char_а,char_е,char_к,char_и,char_т,char_н,char_р,char_л,char_с,char_в,char_у,char_п,char_д,char_б,char_ь,char_м,char_ч,char_я,char_í,char_å,char_ó
Jerome K. Jerome,e,12.16,t,9.68,a,8.2,o,7.85,n,7.01,i,6.61,h,6.15,s,5.73,r,5.61,d,4.79,12.16,8.2,5.73,7.01,6.61,5.61,3.81,9.68,7.85,3.13,4.79,2.13,2.26,1.75,,2.54,1.55,2.05,6.15,,English,,1.92,,2.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jesse Lynch Williams,e,12.07,t,9.17,o,8.4,a,7.75,n,7.11,h,6.56,i,6.19,s,5.78,r,5.29,d,4.42,12.07,7.75,5.78,7.11,6.19,5.29,4.32,9.17,8.4,3.06,4.42,2.35,2.55,1.63,,2.54,1.51,2.1,6.56,,English,,2.31,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joel Chandler Harris,e,12.31,t,9.6,a,8.16,o,7.74,n,6.95,h,6.73,i,6.23,s,5.99,r,5.77,d,4.69,12.31,8.16,5.99,6.95,6.23,5.77,3.98,9.6,7.74,2.86,4.69,2.23,2.7,1.48,,2.49,1.6,1.96,6.73,,English,,1.97,,2.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johann Wolfgang Goethe,e,12.66,t,8.65,o,8.32,i,6.93,a,6.87,r,6.74,n,6.59,s,6.33,h,4.89,l,4.14,12.66,6.87,6.33,6.59,6.93,6.74,4.14,8.65,8.32,3.21,3.72,2.87,2.69,2.15,,2.42,1.57,2.35,4.89,,English,,2.26,,2.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johann Wolfgang Von Goethe,e,12.93,t,9.35,a,7.41,o,7.23,s,6.93,i,6.73,n,6.59,h,6.41,r,6.22,l,4.5,12.93,7.41,6.93,6.59,6.73,6.22,4.5,9.35,7.23,2.94,3.66,2.29,2.66,1.94,,2.21,1.37,2.17,6.41,,English,,2.01,,2.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Johann, Wolfgang von Goethe",e,13.36,t,9.25,a,7.65,i,7.53,o,7.42,n,6.58,s,6.52,r,6.35,h,5.25,l,4.19,13.36,7.65,6.52,6.58,7.53,6.35,4.19,9.25,7.42,2.73,3.5,3.7,2.3,2.35,,1.75,1.66,2.26,5.25,,English,,1.59,,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johanna Spyri,e,12.74,t,9.05,a,7.91,o,7.53,h,7.34,i,6.68,n,6.47,r,5.92,s,5.63,d,5.13,12.74,7.91,5.63,6.47,6.68,5.92,4.34,9.05,7.53,2.7,5.13,2.09,2.4,1.61,,2.42,1.38,1.83,7.34,,English,,2.11,,2.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John A Martin,e,12.48,t,9.38,a,8.31,o,7.59,n,7.47,i,6.9,s,6.6,r,6.44,h,5.31,d,4.18,12.48,8.31,6.6,7.47,6.9,6.44,3.96,9.38,7.59,2.73,4.18,2.73,2.27,1.94,,1.86,1.34,2.59,5.31,,English,,1.86,,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Alan Lyde Caunter,e,12.36,t,9.48,a,8.08,o,7.91,n,6.67,i,6.35,r,6.34,s,5.86,h,5.56,d,4.42,12.36,8.08,5.86,6.67,6.35,6.34,3.73,9.48,7.91,2.89,4.42,2.84,2.41,1.8,,2.34,1.53,2.63,5.56,,English,,1.87,,2.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Aldini,e,13.22,t,9.97,a,7.67,i,7.66,o,7.41,n,6.83,r,5.98,s,5.8,h,5.33,c,3.81,13.22,7.67,5.8,6.83,7.66,5.98,3.65,9.97,7.41,2.43,3.63,3.81,2.95,2.35,,1.57,1.65,2.56,5.33,,English,,1.51,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Alexander Martin,e,12.14,t,9.49,a,8.2,o,7.88,n,7.43,r,6.83,i,6.82,s,6.28,h,4.77,d,3.89,12.14,8.2,6.28,7.43,6.82,6.83,3.68,9.49,7.88,2.95,3.89,3.07,1.99,2.37,,2.16,1.29,2.55,4.77,,English,,1.78,,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Ashton,e,12.78,t,9.33,a,7.89,o,7.65,n,6.99,i,6.68,r,6.48,s,6.47,h,5.59,d,3.93,12.78,7.89,6.47,6.99,6.68,6.48,3.76,9.33,7.65,2.71,3.93,2.96,2.56,2.08,,1.92,1.68,2.55,5.59,,English,,1.76,,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John B. Remsburg,e,12.0,t,9.14,i,8.2,n,7.74,a,7.61,o,7.48,s,6.47,r,5.95,h,5.8,l,4.41,12.0,7.61,6.47,7.74,8.2,5.95,4.41,9.14,7.48,2.26,4.14,3.12,2.53,1.74,,1.67,1.44,2.47,5.8,,English,,1.65,,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Bloundelle-Burton,e,12.56,t,8.87,a,8.25,o,8.07,n,6.81,h,6.8,i,6.38,s,6.26,r,5.71,d,4.48,12.56,8.25,6.26,6.81,6.38,5.71,3.77,8.87,8.07,2.82,4.48,2.19,2.69,1.54,,2.19,1.5,2.21,6.8,,English,,1.94,,2.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Buchan,e,12.07,t,9.28,a,8.33,o,7.82,n,6.86,i,6.85,h,5.92,s,5.52,r,5.47,d,4.86,12.07,8.33,5.52,6.86,6.85,5.47,4.01,9.28,7.82,2.82,4.86,2.5,2.75,1.74,,2.21,1.7,2.31,5.92,,English,,2.09,,2.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Bunyan,e,12.28,t,10.23,a,7.97,h,7.95,o,7.71,i,6.77,n,6.3,s,5.98,r,5.36,d,4.25,12.28,7.97,5.98,6.3,6.77,5.36,3.74,10.23,7.71,2.65,4.25,2.07,2.71,1.39,,2.02,1.56,2.24,7.95,,English,,2.23,,2.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Camden Hotten,e,11.66,a,8.38,o,8.3,t,8.28,n,7.15,s,6.79,i,6.77,r,6.64,h,4.75,l,4.21,11.66,8.38,6.79,7.15,6.77,6.64,4.21,8.28,8.3,2.69,3.59,3.19,2.55,2.32,,2.38,1.77,2.36,4.75,,English,,1.84,,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Cleland,e,12.41,t,9.37,o,7.75,a,7.37,i,7.2,n,7.05,s,6.45,h,6.17,r,5.72,d,4.24,12.41,7.37,6.45,7.05,7.2,5.72,3.65,9.37,7.75,2.83,4.24,2.62,2.9,1.9,,2.07,1.35,2.64,6.17,,English,,1.97,,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Codman,e,12.59,t,9.31,o,8.1,r,7.3,i,7.08,n,6.81,a,6.78,s,5.83,h,4.89,d,4.09,12.59,6.78,5.83,6.81,7.08,7.3,3.52,9.31,8.1,3.09,4.09,3.33,2.31,2.28,,2.19,1.63,2.8,4.89,,English,,1.95,,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Collins,e,12.91,t,8.71,o,7.99,a,7.38,n,7.1,r,6.93,i,6.49,s,6.07,h,5.05,d,4.47,12.91,7.38,6.07,7.1,6.49,6.93,4.11,8.71,7.99,2.8,4.47,2.79,2.26,2.06,,2.43,1.58,2.32,5.05,,English,,1.82,,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Dean Paul,e,11.57,t,9.88,o,8.71,r,7.55,i,7.36,n,6.75,a,6.69,s,5.09,c,3.77,h,3.57,11.57,6.69,5.09,6.75,7.36,7.55,3.5,9.88,8.71,3.41,3.39,3.77,2.28,2.83,,2.65,1.8,2.52,3.57,,English,,2.08,,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Dewey,e,12.26,t,9.97,i,8.73,n,7.8,o,7.69,a,7.51,s,6.7,r,5.46,h,4.73,c,3.94,12.26,7.51,6.7,7.8,8.73,5.46,3.67,9.97,7.69,2.85,3.47,3.94,2.3,2.13,,1.84,1.25,2.56,4.73,,English,,1.52,,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Drinkwater,e,11.43,t,9.01,o,8.35,n,7.68,a,7.41,i,7.41,s,6.59,r,5.84,h,5.03,l,4.59,11.43,7.41,6.59,7.68,7.41,5.84,4.59,9.01,8.35,3.1,3.44,2.91,2.91,1.7,,2.24,1.58,1.9,5.03,,English,,2.32,,2.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Evelyn,e,12.01,t,9.33,a,8.01,o,7.47,n,7.07,i,7.06,s,6.68,r,6.43,h,4.96,l,4.43,12.01,8.01,6.68,7.07,7.06,6.43,4.43,9.33,7.47,3.17,4.03,3.09,2.46,2.25,,1.97,1.68,2.27,4.96,,English,,1.57,,1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John F. Hume,e,12.57,t,9.6,a,8.07,o,7.76,n,7.23,i,7.22,s,6.3,r,6.03,h,5.59,l,4.04,12.57,8.07,6.3,7.23,7.22,6.03,4.04,9.6,7.76,2.5,3.95,2.9,2.42,2.01,,1.79,1.56,2.27,5.59,,English,,1.77,,2.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Filson,e,12.63,t,9.49,o,7.85,n,7.33,a,7.14,i,7.06,r,6.65,s,5.51,h,4.75,d,4.4,12.63,7.14,5.51,7.33,7.06,6.65,3.29,9.49,7.85,3.17,4.4,3.01,2.63,2.08,,2.05,1.55,2.77,4.75,,English,,2.11,,2.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Fothergill,e,12.63,t,9.78,a,7.73,i,7.54,o,7.5,s,7.1,n,6.57,r,6.19,h,4.97,d,3.65,12.63,7.73,7.1,6.57,7.54,6.19,3.21,9.78,7.5,3.15,3.65,3.44,2.76,2.4,,1.87,1.52,2.57,4.97,,English,,1.57,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Foxe,e,13.01,t,9.35,o,7.57,a,7.54,i,6.96,n,6.93,h,6.48,r,6.4,s,6.28,d,4.49,13.01,7.54,6.28,6.93,6.96,6.4,3.29,9.35,7.57,2.68,4.49,2.86,2.54,2.02,,1.8,1.53,2.53,6.48,,English,,1.65,,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"John French, Viscount of Ypres",e,12.54,t,9.43,a,7.82,o,7.34,n,7.31,i,6.96,r,6.88,s,6.07,h,5.43,d,4.08,12.54,7.82,6.07,7.31,6.96,6.88,3.71,9.43,7.34,2.46,4.08,3.16,2.55,1.83,,2.03,1.65,2.8,5.43,,English,,1.76,,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
